CZ3-TI7003,CZ3-FI7020,CZ3-TI7041,CZ3-TI7001,CZ3-TI7005,CZ3-PI7101,CZ3-FC7002,CZ3-TI7043,CZ3-PI7008,CZ3-FI7017,CZ3-FI7019,CZ3-TI7007,CZ3-FI7018,CZ3-FC7007,CZ3-FIC7009,CZ3-FI7006
516.1097,1640.391,60.15514,516.3665,515.473,0.8471441,172.0467,198.9671,0.8481928,4024.019,2482.092,515.6664,2815.402,163.855,3.881366,73592.01
518.3535,2047.605,59.7454,519.1139,518.7612,0.8483382,170.1071,192.9654,0.849614,4305.188,2493.582,522.6575,2908.433,159.6965,4.442076,76084.28
518.2108,2038.914,60.18731,519.5566,518.0694,0.8479648,170.1609,193.0439,0.8498683,4120.839,2615.365,522.1257,2765.543,160.4356,4.030495,74541.7
516.0986,1783.446,61.29781,516.6047,516.089,0.8499552,171.5538,194.7097,0.8505549,4228.759,2618.208,516.3564,2793.121,165.9686,3.545863,73960.33
516.9435,1728.957,60.48301,516.9775,517.9855,0.8485892,171.7161,198.0323,0.8498749,4322.466,2535.542,517.5035,2885.744,164.835,3.920588,75949.63
518.7526,1971.171,61.08714,519.6605,518.5133,0.8491024,169.7293,197.4277,0.8502511,4042.792,2404.79,521.8275,2769.369,159.1081,4.137699,77082.3
518.3707,2039.135,63.64669,518.4574,518.7523,0.8479552,170.3365,193.035,0.8504943,4194.239,2485.271,521.952,2898.719,159.0929,4.462899,75283.2
519.8218,2140.834,65.43369,521.2457,520.5373,0.845681,169.7687,194.1079,0.8495449,4305.852,2684.696,523.4849,2949.583,159.5484,4.126894,76815.93
516.5182,2104.33,63.05069,518.0225,518.0416,0.84838,170.1362,202.2849,0.850125,4758.362,2810.938,521.8707,2940.43,162.5213,3.434471,75342.73
516.5978,1799.446,61.05933,517.4474,516.871,0.8460898,169.7889,198.0951,0.8505276,4500.754,2561.382,517.6631,3032.791,165.1723,4.026775,74275.66
519.4244,2087.709,60.96597,519.668,519.2267,0.8486226,169.9346,197.4719,0.8496934,4201.263,2488.899,523.0921,2959.114,160.4454,4.58167,76342.66
516.9689,1825.681,61.52008,517.1191,518.3667,0.8479036,169.1329,202.4618,0.8503743,4204.92,2609.986,517.7842,2992.612,161.1538,4.083966,75085.58
518.3988,2091.345,60.64302,518.921,518.1993,0.8489166,169.4095,193.5784,0.851142,4429.692,2565.924,522.2802,2962.481,161.0568,4.278053,74103.57
520.0345,1880.226,62.85016,520.4818,521.1971,0.8460608,171.6474,195.678,0.8487946,3902.42,2352.614,524.743,2561.519,162.2474,4.175956,77760.82
514.6959,1783.58,59.34191,514.7141,515.3726,0.8492233,170.8051,191.9112,0.8500268,4252.707,2624.566,515.7673,2762.718,165.9277,3.843328,73717.33
518.5965,2040.005,61.14911,516.891,519.9147,0.8495802,170.8911,195.5655,0.8504884,4445.573,2749.39,523.0375,2953.723,166.4869,4.192994,75474.35
518.2029,1617.984,61.61723,518.3773,518.9547,0.8486595,170.9972,196.1634,0.8502502,3990.588,2492.994,518.9006,2694.236,164.1032,3.93917,74988.63
516.654,2102.371,62.09125,517.9205,516.8791,0.8494163,170.1406,200.4812,0.8495625,4148.542,2593.699,520.8691,2876.365,159.8618,4.426885,75861.86
516.3376,1720.825,62.92097,514.0982,517.2239,0.8496053,170.7506,198.3443,0.8497883,4078.842,2443.272,516.2747,2877.894,161.7501,4.111069,74834.27
516.7958,1796.411,61.91751,517.4059,517.9863,0.8484014,168.5071,204.2632,0.8502018,4176.447,2603.294,517.8747,2916.465,164.0942,3.54369,75624.38
